tool,file,line,severity
bandit,backend/app/core/config.py,111,LOW
bandit,backend/app/models.py,19,LOW
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,1,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,1,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,8,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,10,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,14,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,15,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,20,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,20,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,23,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,24,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,25,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,26,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,26,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,26,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,26,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,26,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,26,warning
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,27,error
ruff,/Users/somen/Zavodi/opensource/fastapi-moscow-python-demo/backend/app/alembic/versions/fd8dcfe8d4fd_add_wallet_and_transaction_models.py,28,error
